"event","experiment time","system time","system time text"
"START",0.000000000E0,1770854999.169,"2026-02-11 19:09:59.169 UTC-05:00"
"PAUSE",3.000232142E2,1770855299.192,"2026-02-11 19:14:59.192 UTC-05:00"
