"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.770855425710771E9,"2026-02-11 19:17:05.711 UTC-05:00"
"PAUSE",3.005971076251008E2,1.770855726311602E9,"2026-02-11 19:22:06.312 UTC-05:00"
