"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.770854920951335E9,"2026-02-11 19:08:40.951 UTC-05:00"
"PAUSE",3.005938499583863E2,1.770855221554118E9,"2026-02-11 19:13:41.554 UTC-05:00"
