"event","experiment time","system time","system time text"
"START",0.000000000E0,1770855489.380,"2026-02-11 19:18:09.380 UTC-05:00"
"PAUSE",3.000243218E2,1770855789.404,"2026-02-11 19:23:09.404 UTC-05:00"
