"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.213036666E-1,7.505176109E-1,-4.984891677E-1,-3.236334461E-1,9.573435862E-1
6.313576666E-1,7.754033607E-1,-3.454646105E-1,-1.324879518E0,1.573499891E0
6.414116665E-1,8.553178418E-1,-1.737903589E-1,-1.643378085E0,1.860769527E0
6.514656667E-1,1.011044397E0,-7.439704835E-2,-1.482855790E0,1.796275866E0
6.615196667E-1,1.002466532E0,-1.081021535E-1,-1.112906402E0,1.501727633E0
6.715726666E-1,7.604724956E-1,-1.960431075E-1,-6.817811058E-1,1.039988843E0
6.816266666E-1,5.424567211E-1,-3.177049541E-1,-2.735994065E-1,6.856036518E-1
6.916806665E-1,4.812504065E-1,-2.923935270E-1,-1.508172333E-2,5.633146428E-1
7.017346667E-1,5.686633569E-1,-2.658155930E-1,9.605659693E-3,6.277963138E-1
7.117886667E-1,6.603412664E-1,-2.741262406E-1,-1.073468395E-1,7.229931727E-1
7.218426666E-1,6.892861533E-1,-2.154570329E-1,-1.288527524E-1,7.335803746E-1
7.318966666E-1,6.649137890E-1,-1.378861159E-1,-1.277236551E-1,6.909676258E-1
7.419506665E-1,4.208685493E-1,4.702740133E-2,-2.459454386E-1,4.897255058E-1
7.520036667E-1,2.889547795E-1,1.597687358E-1,-5.103094603E-1,6.078130130E-1
7.620576667E-1,3.250718611E-1,1.235329556E-1,-7.096407495E-1,7.902671064E-1
7.721116666E-1,2.013248974E-1,-1.882376593E-1,-6.838714854E-1,7.373230902E-1
7.821656666E-1,2.020441049E-1,-2.671306318E-1,-4.287657988E-1,5.440778483E-1
7.922196665E-1,-2.806838930E-1,-7.093561363E-1,3.805279507E-1,8.525087080E-1
8.022736667E-1,-4.231928176E-1,-3.949724007E-1,7.112944152E-1,9.170796603E-1
8.123276667E-1,-9.704384083E-1,-2.767896473E-1,3.487956961E-1,1.067717964E0
8.223816666E-1,-8.035664749E-1,-1.408945084E-1,-2.074615502E-1,8.417901383E-1
8.324356666E-1,-3.890632045E-1,1.829541153E-1,-6.586104906E-1,7.865177453E-1
8.424896665E-1,-2.797103316E-1,2.585170984E-1,-9.189104050E-1,9.947187001E-1
8.525426667E-1,-2.096624422E-1,2.834578121E-1,-1.045569136E0,1.103413562E0
8.625966667E-1,-3.789171159E-2,2.928209585E-1,-1.034121676E0,1.075447599E0
8.726506666E-1,-8.350408673E-3,2.548163956E-1,-9.928081743E-1,1.025021559E0
8.827046666E-1,-2.337857151E-1,5.386805892E-2,-1.015335084E0,1.043294235E0
8.927586665E-1,-6.830179381E-1,-4.436335140E-1,-1.018138751E0,1.303813911E0
9.028126667E-1,-1.086336070E0,-8.136201775E-1,-9.921391797E-1,1.681203141E0
9.128666667E-1,-1.372563123E0,-8.596646619E-1,-8.775354340E-1,1.842015553E0
9.229206666E-1,-1.386446752E0,-7.570933896E-1,-6.329149014E-1,1.701765633E0
9.329736666E-1,-1.218518227E0,-3.696247208E-1,-2.868743402E-1,1.305260890E0
9.430276665E-1,-9.072557348E-1,1.948526144E-1,-5.167257562E-3,9.279586253E-1
9.530816667E-1,-5.406148481E-1,6.355935109E-1,1.517048407E-1,8.480907285E-1
