"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.151341249E-1,2.685983560E-1,3.685391852E-1,-3.890499898E0,3.917136156E0
6.251871251E-1,3.649183700E-1,2.869819289E-1,-3.762130126E0,3.790665789E0
6.352401250E-1,4.979077352E-1,1.260466737E-1,-3.451659932E0,3.489664190E0
6.452931250E-1,5.553874730E-1,1.737383187E-2,-3.029473420E0,3.080010762E0
6.553451249E-1,5.865660694E-1,-6.575807959E-2,-2.658592132E0,2.723324440E0
6.653981251E-1,6.140585811E-1,-1.381056789E-1,-2.340687788E0,2.423831768E0
6.754511250E-1,6.028377742E-1,-2.148866370E-1,-2.050442528E0,2.148000049E0
6.855031250E-1,5.390292294E-1,-2.794109541E-1,-1.755046456E0,1.857097481E0
6.955561249E-1,4.710612678E-1,-2.297499669E-1,-1.417362735E0,1.511158790E0
7.056091251E-1,3.658573598E-1,-1.266761264E-1,-1.103087758E0,1.169059900E0
7.156621250E-1,3.841626531E-1,3.082067370E-3,-8.632478356E-1,9.448742080E-1
7.257141250E-1,4.358779865E-1,1.805968103E-1,-6.791821647E-1,8.269783793E-1
7.357671249E-1,4.081226425E-1,3.308316609E-1,-5.087644798E-1,7.313377982E-1
7.458201251E-1,3.126535445E-1,3.813296771E-1,-3.725231856E-1,6.180113958E-1
7.558731250E-1,2.341638838E-1,3.493477464E-1,-3.519971198E-1,5.484328078E-1
7.659251250E-1,1.576085550E-1,3.443282041E-1,-2.822123551E-1,4.722776537E-1
7.759781249E-1,2.161516821E-1,4.341007984E-1,-1.616790211E-1,5.111801627E-1
7.860311249E-1,3.426647443E-1,5.506980792E-1,-1.997701228E-2,6.489118449E-1
7.960841251E-1,3.969802614E-1,5.732814878E-1,4.959374428E-2,6.990740531E-1
8.061361250E-1,3.516956227E-1,5.094667304E-1,1.411383373E-1,6.349536917E-1
8.161891249E-1,2.578978052E-1,3.924060577E-1,3.659427291E-1,5.953216551E-1
8.262421249E-1,1.931077322E-1,1.850067803E-1,6.827168065E-1,7.332259835E-1
8.362951251E-1,1.782834325E-1,-1.939667612E-2,1.061526918E0,1.076568907E0
8.463471250E-1,2.306099461E-1,-6.619457424E-2,1.470130933E0,1.489579682E0
8.564001250E-1,3.843226110E-1,4.370325923E-2,1.800644213E0,1.841720235E0
8.664531249E-1,3.780758112E-1,9.728246570E-2,1.897715594E0,1.937454431E0
8.765051251E-1,2.253239170E-1,-2.533335418E-2,1.795197532E0,1.809460368E0
8.865581250E-1,1.256878739E-1,-8.084418833E-2,1.635467972E0,1.642281557E0
8.966111250E-1,2.224644823E-1,1.138657540E-2,1.573564085E0,1.589252664E0
9.066641249E-1,4.899053820E-1,1.207830101E-1,1.539654912E0,1.620226239E0
9.167161251E-1,7.257906130E-1,2.301490393E-1,1.502614555E0,1.684515092E0
9.267691250E-1,8.088624443E-1,4.112931490E-3,1.615307357E0,1.806514110E0
9.368221250E-1,7.363712959E-1,-3.094372836E-1,2.191494911E0,2.332518824E0
9.468751249E-1,4.747412860E-1,-4.213348648E-1,2.866353645E0,2.935793857E0
9.569271249E-1,3.016038419E-1,-4.622025168E-1,3.282289483E0,3.328366010E0
9.669801251E-1,2.286866507E-1,-6.270586225E-1,3.278046159E0,3.345308165E0
9.770331250E-1,2.079678460E-1,-8.268129578E-1,3.014992790E0,3.133217486E0
9.870861250E-1,2.400142789E-1,-1.008964250E0,2.619368425E0,2.817216119E0
9.971381249E-1,2.827851995E-1,-1.150545514E0,2.233702453E0,2.528467737E0
1.007191125E0,3.686239333E-1,-1.187052898E0,1.880955720E0,2.254544878E0
1.017244125E0,4.732651199E-1,-1.132957674E0,1.604608707E0,2.020480653E0
1.027297125E0,4.354427344E-1,-1.138452888E0,1.347301982E0,1.816840109E0
1.037349125E0,1.944755421E-1,-1.190303949E0,1.219870103E0,1.715437931E0
1.047402125E0,-1.901691408E-1,-1.228577192E0,1.195284315E0,1.724607437E0
1.057455125E0,-5.694426446E-1,-1.256827430E0,1.255318263E0,1.865396487E0
1.067508125E0,-6.827179760E-1,-1.270878581E0,1.237738025E0,1.900850236E0
1.077560125E0,-6.109743210E-1,-1.245555752E0,1.068392719E0,1.751045903E0
1.087613125E0,-4.339783723E-1,-1.242084552E0,6.586549294E-1,1.471372685E0
1.097666125E0,-2.567047539E-1,-1.258629541E0,1.618012279E-1,1.294691195E0
1.107718125E0,-8.309470855E-2,-1.194494357E0,-3.126137835E-1,1.237517222E0
1.117771125E0,-5.820318460E-3,-1.140864279E0,-7.381425637E-1,1.358844960E0
1.127824125E0,-7.710357830E-3,-1.131813959E0,-1.167203062E0,1.625861395E0
1.137877125E0,-4.321092367E-4,-1.078278314E0,-1.536980980E0,1.877496962E0
1.147929125E0,5.937270083E-2,-1.047509973E0,-1.832717360E0,2.111789569E0
1.157982125E0,1.937213244E-1,-9.909919560E-1,-2.118155040E0,2.346523765E0
1.168035125E0,2.696901043E-1,-9.126880905E-1,-2.385855190E0,2.568664496E0
1.178088125E0,2.838752302E-1,-8.504310313E-1,-2.671959452E0,2.818365732E0
1.188140125E0,3.156362823E-1,-7.929657653E-1,-2.903509192E0,3.026348723E0
1.198193125E0,3.538057367E-1,-6.835351244E-1,-3.082742724E0,3.177373360E0
1.208246125E0,3.565083928E-1,-5.631599575E-1,-3.187741175E0,3.256676400E0
1.218299125E0,3.371905810E-1,-4.302550846E-1,-3.221979547E0,3.268022204E0
1.228351125E0,3.258387966E-1,-2.987611449E-1,-3.175687140E0,3.206309086E0
1.238404125E0,2.763793190E-1,-2.006624079E-1,-2.990570140E0,3.010010082E0
1.248456583E0,2.981311074E-1,-1.146858260E-1,-2.742790284E0,2.761328219E0
1.258509583E0,3.325829020E-1,-5.451037556E-2,-2.465660913E0,2.488587251E0
1.268561583E0,3.010148080E-1,-1.054369926E-2,-2.180934840E0,2.201635269E0
1.278614583E0,2.778601263E-1,2.794179708E-2,-2.098327716E0,2.116829279E0
1.288667583E0,2.942070410E-1,1.938936710E-2,-2.057608291E0,2.078625895E0
1.298720583E0,3.486225455E-1,-2.389493912E-2,-2.047022492E0,2.076634231E0
1.308772583E0,3.509658171E-1,6.001874506E-2,-2.015972607E0,2.047174836E0
1.318825583E0,2.786537397E-1,1.271892196E-1,-1.856567568E0,1.881666320E0
1.328878583E0,2.662835164E-1,1.330367276E-1,-1.636255007E0,1.663110379E0
1.338930583E0,2.927962540E-1,1.918094310E-1,-1.310218356E0,1.356168368E0
1.348983583E0,3.140074673E-1,3.102941930E-1,-1.017379856E0,1.109028830E0
1.359036583E0,2.437541945E-1,3.210937080E-1,-8.480678791E-1,9.390082024E-1
1.369089583E0,7.412544519E-2,1.349993455E-1,-6.675386041E-1,6.850745893E-1
1.379141583E0,7.780992195E-2,-4.380061537E-2,-4.091518986E-1,4.187817498E-1
1.389194583E0,2.510085426E-1,-2.120638937E-2,-2.314585233E-1,3.420936238E-1
1.399247583E0,4.027208385E-1,-6.007838666E-2,-2.435014486E-1,4.744327579E-1
1.409300583E0,6.001494437E-1,-2.151094159E-1,-2.279425925E-1,6.770592597E-1
1.419352583E0,1.006378758E0,-1.782427213E-1,-2.546111584E-2,1.022358518E0
1.429405583E0,1.146481992E0,-9.216527492E-2,1.625800771E-1,1.161614255E0
1.439458583E0,8.402270553E-1,-1.273315993E-1,5.499212766E-1,1.012229347E0
1.449511583E0,4.965910153E-1,-1.000582851E-1,1.151072348E0,1.257609577E0
1.459563583E0,2.048778118E-1,-5.986964107E-3,1.834531751E0,1.845946236E0
1.469616583E0,-1.585186011E-1,2.434780598E-2,2.454609675E0,2.459843414E0
1.479669583E0,-3.865116258E-1,-6.128773704E-2,2.946906057E0,2.972776940E0
1.489722583E0,-6.063631336E-1,-1.638873683E-1,3.180391225E0,3.241824126E0
1.499774583E0,-9.443114407E-1,-2.015552777E-1,3.275653478E0,3.415004295E0
1.509827583E0,-1.170910928E0,-1.727209032E-2,3.431819744E0,3.626116033E0
1.519880583E0,-1.261808965E0,2.927594166E-1,3.568439938E0,3.796265735E0
1.529933583E0,-1.345409969E0,4.779780123E-1,3.518024660E0,3.796720752E0
1.539985583E0,-1.480303626E0,4.641885236E-1,3.295737494E0,3.642616565E0
1.550038583E0,-1.638473149E0,3.948072168E-1,3.031936267E0,3.468876551E0
1.560091583E0,-1.638091618E0,3.864664561E-1,2.765103258E0,3.237050587E0
1.570143583E0,-1.662739971E0,4.665199547E-1,2.485669500E0,3.026697531E0
1.580196583E0,-1.843416742E0,4.660841909E-1,2.322260873E0,3.001385566E0
