"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.265373752E-1,-1.450197775E0,-2.913111489E0,5.922182804E-1,3.307569293E0
6.365913751E-1,-1.011947207E0,-2.823013498E0,6.778875180E-1,3.074568888E0
6.466453751E-1,-5.704754090E-1,-2.702986532E0,7.500789966E-1,2.862550766E0
6.567003750E-1,-1.695622373E-1,-2.636705419E0,7.479313874E-1,2.745973085E0
6.667543750E-1,2.071557409E-1,-2.631141794E0,6.814270569E-1,2.725832620E0
6.768083749E-1,6.086670828E-1,-2.681369961E0,6.497290085E-1,2.825308526E0
6.868623751E-1,1.042360915E0,-2.763454344E0,5.369749564E-1,3.001922432E0
6.969163751E-1,1.404726318E0,-2.885272311E0,3.814355117E-1,3.231647472E0
7.069703750E-1,1.781515047E0,-2.993777922E0,2.101758277E-1,3.490082519E0
7.170243750E-1,2.114464277E0,-3.147798260E0,1.370163426E-2,3.792068143E0
7.270783749E-1,2.399284490E0,-3.320897478E0,-1.949777448E-1,4.101578044E0
7.371323751E-1,2.817245219E0,-3.520990368E0,-3.370892049E-1,4.521932433E0
7.471863751E-1,3.209236709E0,-3.741197094E0,-4.853400953E-1,4.952909343E0
7.572403750E-1,3.412691163E0,-3.909076502E0,-6.929903644E-1,5.235224515E0
7.672943750E-1,3.680571992E0,-4.019376040E0,-8.907753575E-1,5.522270790E0
7.773483749E-1,4.092640482E0,-4.061796420E0,-1.030034546E0,5.857377181E0
7.874023751E-1,4.510367907E0,-4.070562565E0,-1.296955701E0,6.212486809E0
7.974563751E-1,4.945472673E0,-4.056708757E0,-1.616957149E0,6.597661428E0
8.075103750E-1,5.260189700E0,-3.960803896E0,-1.811962668E0,6.829404944E0
8.175643750E-1,5.296513188E0,-3.909911485E0,-1.836390581E0,6.834675569E0
8.276193750E-1,5.203710274E0,-3.822628343E0,-1.743391493E0,6.688086569E0
8.376733752E-1,5.185275757E0,-3.559024751E0,-1.796028713E0,6.540600966E0
8.477273751E-1,5.002939693E0,-3.392512714E0,-2.046222885E0,6.381659359E0
8.577813751E-1,4.745679161E0,-3.390494255E0,-2.412553577E0,6.311682561E0
8.678353750E-1,4.626118804E0,-3.399113343E0,-2.795371370E0,6.385064432E0
8.778893750E-1,4.459449184E0,-3.498630615E0,-3.127167237E0,6.473505861E0
8.879433752E-1,4.085358945E0,-3.605174193E0,-3.299959184E0,6.370021137E0
8.979973751E-1,3.733236694E0,-3.834347624E0,-3.615810278E0,6.458588227E0
9.080513751E-1,2.905972039E0,-4.306248918E0,-4.020750135E0,6.569237770E0
9.181053750E-1,1.694876268E0,-4.805979157E0,-4.187515357E0,6.595856736E0
9.281593750E-1,4.937564313E-1,-5.341656616E0,-4.012042462E0,6.698774181E0
9.382133752E-1,-5.603275663E-1,-5.736893896E0,-3.749231168E0,6.876238282E0
9.482673751E-1,-1.325671962E0,-5.937582031E0,-3.744873823E0,7.143974138E0
9.583213751E-1,-1.525888227E0,-5.712195257E0,-3.933278128E0,7.101280615E0
