"event","experiment time","system time","system time text"
"START",0.000000000E0,1770854922.675,"2026-02-11 19:08:42.675 UTC-05:00"
"PAUSE",3.000149116E2,1770855222.690,"2026-02-11 19:13:42.690 UTC-05:00"
