"event","experiment time","system time","system time text"
"START",0.000000000E0,1770854393.728,"2026-02-11 18:59:53.728 UTC-05:00"
"PAUSE",3.000243957E2,1770854693.752,"2026-02-11 19:04:53.752 UTC-05:00"
