"event","experiment time","system time","system time text"
"START",0.000000000E0,1770855421.746,"2026-02-11 19:17:01.746 UTC-05:00"
"PAUSE",3.000204701E2,1770855721.766,"2026-02-11 19:22:01.766 UTC-05:00"
