"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.770854312502474E9,"2026-02-11 18:58:32.502 UTC-05:00"
"PAUSE",3.006187767083757E2,1.770854613130186E9,"2026-02-11 19:03:33.130 UTC-05:00"
