"event","experiment time","system time","system time text"
"START",0.000000000E0,1770854318.415,"2026-02-11 18:58:38.415 UTC-05:00"
"PAUSE",3.000158435E2,1770854618.431,"2026-02-11 19:03:38.431 UTC-05:00"
